player_name,league,season,season_type,stat_type,team,gp,mpg,ppg,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,rpg,apg,spg,bpg,tov,pf
Maidy Douglas,French LNB Espoirs,2026,Regular_Season,Averages,ENAN,23,31.8,23.3,8.0,15.7,.508,2.2,6.3,.345,5.1,6.3,.814,0.7,3.3,4.0,4.3,1.4,0.4,2.1,1.4
Romain Valakou,French LNB Espoirs,2026,Regular_Season,Averages,EGD,22,30.0,20.5,7.0,15.8,.441,2.4,7.4,.325,4.2,5.7,.744,0.8,4.5,5.4,3.6,1.3,0.2,2.7,2.1
Killian Mete,French LNB Espoirs,2026,Regular_Season,Averages,ELP,13,31.7,20.3,7.5,18.8,.402,1.3,5.3,.246,3.9,5.5,.708,1.0,3.8,4.8,2.5,2.3,0.6,3.0,2.0
Akram Naji,French LNB Espoirs,2026,Regular_Season,Averages,ECS,11,25.6,19.8,6.1,12.8,.475,1.0,4.3,.234,6.6,8.5,.785,1.4,3.7,5.1,6.5,3.2,0.4,2.7,3.0
Juwan Ekanga-Ehawa,French LNB Espoirs,2026,Regular_Season,Averages,EBB,22,29.5,19.1,7.0,13.5,.520,1.9,6.1,.306,3.3,4.7,.692,1.0,4.6,5.5,3.2,2.1,0.3,3.0,2.2
Alexandre Nfomoum-Lomby,French LNB Espoirs,2026,Regular_Season,Averages,ESN,29,36.1,18.9,8.2,13.6,.603,0.3,1.5,.205,2.3,5.3,.426,2.7,4.3,7.0,1.6,1.0,1.2,2.7,2.6
Louka Letailleur,French LNB Espoirs,2026,Regular_Season,Averages,EGD,4,31.5,18.8,7.3,16.5,.439,1.5,5.3,.286,2.8,4.3,.647,1.0,7.3,8.3,3.5,1.8,1.3,3.5,2.3
Klark Riethauser,French LNB Espoirs,2026,Regular_Season,Averages,ECS,26,30.3,18.6,6.3,14.1,.444,2.6,7.0,.374,3.5,4.7,.744,2.2,4.8,7.0,2.5,2.0,0.5,3.9,1.5
Isaac Guedegbe,French LNB Espoirs,2026,Regular_Season,Averages,EBB,29,32.1,18.3,5.5,13.1,.420,1.9,6.1,.303,5.4,6.4,.834,0.5,1.4,1.9,5.0,1.0,0.0,2.3,1.9
Nfaba Mane,French LNB Espoirs,2026,Regular_Season,Averages,ELP,12,29.2,17.5,6.7,16.6,.402,0.9,4.3,.216,3.3,4.5,.722,1.0,5.4,6.4,3.5,1.8,0.3,2.3,1.8
